,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Ini_HOMO-1,0.137718804,0.29912916,0.32814323,0.019558174,0.018826959,0.013698032,0.043523417,0.002588235,0.035167338,0.510783388,0.105901596,0.313763418,0.550800518,0.187217935,0.395298448,0.425676659,0.826520036,0.696668265,0.541992393,0.234593552,0.095213643,0.182229189,0.077258938,0.034848734,0.136704891,0.020267114,0.053106456,0.230409637,0.108330772,0.004417805,0.031568877,0.139988319,0.292067449,0.118652172,0.201313256,0.18533107,0.047939816
Ini_HOMO,0.173429003,0.222079896,0.295841596,0.025683011,0.026959411,0.053165838,0.009391707,0.020669881,0.058156474,0.233296171,0.313763418,0.028681064,0.703160667,0.691519393,0.306046045,0.624671994,0.5145772,0.125223096,0.170272229,0.163911006,0.045525529,0.242895177,0.26751301,0.058800124,0.107422776,0.001241666,0.187171721,0.013329646,0.015262108,0.051538426,0.036444028,0.006309139,0.031605096,0.016333746,0.03178035,0.018736505,0.01920612
Ini_LUMO,0.091101421,0.314246314,0.305421809,0.02854497,0.073587565,0.100887108,0.028788547,0.115133457,0.07283169,0.11899055,0.550800518,0.703160667,0.086462204,0.646917117,0.522058082,0.749029339,0.848323607,0.470544051,0.500397119,0.276577205,0.340009611,0.172680655,0.135930942,0.024049681,0.02126885,0.011075089,0.070091543,0.128955023,0.000849447,0.074298572,0.058124537,0.118030726,0.172984938,0.132640763,0.105256804,0.11537063,0.07559157
Ini_LUMO+1,0.120240133,0.02353436,0.070341138,0.004640951,0.011437275,0.04215575,0.036383741,0.000443796,0.022523268,0.466205436,0.187217935,0.691519393,0.646917117,0.090294893,0.047588743,0.386630878,0.171439066,0.259718888,0.007709527,0.189957896,0.075847916,0.124826071,0.213507863,0.035586805,0.150311364,0.096839559,0.221178929,0.087410781,0.03562166,0.022567864,0.04859827,0.049863296,0.026087568,0.000573387,0.136845822,0.100455898,0.010347266
Ini_dipole,0.276048699,0.46628203,0.151508528,0.044945908,0.219672901,0.239457499,0.078900941,0.37601536,0.246327341,0.138501574,0.395298448,0.306046045,0.522058082,0.047588743,0.167855633,0.705085051,0.648204839,0.474109423,0.228487637,0.616950582,0.568990887,0.120349373,0.210886304,0.093975083,0.100483831,0.208777017,0.244298854,0.167304384,0.11657378,0.184607818,0.159731636,0.243911192,0.054292084,0.14921218,0.302842246,0.233341453,0.122985594
Ini_T,0.239229092,0.453134416,0.168537557,0.041067528,0.290488366,0.20096084,0.050884008,0.322698323,0.123618497,0.405902211,0.425676659,0.624671994,0.749029339,0.386630878,0.705085051,0.011265968,0.765439546,0.228553789,0.210168548,0.633168691,0.39089562,0.023119071,0.06056651,0.024886415,0.052120154,0.130717515,0.025342271,0.254000337,0.007093567,0.088770628,0.093821806,0.167755136,0.113294896,0.122153064,0.289398563,0.267030087,0.185580885
Ini_Charge_N,0.01889444,0.436956711,0.345616857,0.02967516,0.109470906,0.118735363,0.055723919,0.170579038,0.100810877,0.084573148,0.826520036,0.5145772,0.848323607,0.171439066,0.648204839,0.765439546,0.163518699,0.725535945,0.505442135,0.517697943,0.432376263,0.129818671,0.028234995,0.018894151,0.115814408,0.074334128,0.053862622,0.22727535,0.004856518,0.097949697,0.04665829,0.181407221,0.209882506,0.169375833,0.232312446,0.225139369,0.112462138
Ini_Charge_C,0.046769394,0.273910483,0.242274736,0.073674299,0.007872747,0.064598799,0.133022618,0.09407702,0.096999834,0.371305682,0.696668265,0.125223096,0.470544051,0.259718888,0.474109423,0.228553789,0.725535945,0.270885835,0.705582748,0.480010695,0.48340183,0.043744655,0.098843759,0.004855596,0.192052718,0.068821571,0.196456061,0.139677161,0.028552478,0.10250493,0.028734417,0.18542862,0.186093996,0.179515635,0.175317061,0.165618339,0.041073108
Ini_Bond_N_C,0.014719595,0.126665678,0.106968295,0.012314163,0.104636721,0.014995362,0.005117053,0.016100893,0.09096779,0.34269671,0.541992393,0.170272229,0.500397119,0.007709527,0.228487637,0.210168548,0.505442135,0.705582748,0.074631797,0.331066635,0.08576752,0.040884643,0.031023016,0.085924916,0.153650947,0.100412056,0.059618464,0.191199245,0.126156839,0.057065559,0.016413768,0.136332629,0.300448951,0.120604574,0.168923353,0.158732337,0.058940449
Ini_BV_2A,0.429751013,0.391411351,0.018094008,0.051085162,0.348843829,0.218765053,0.036076015,0.391693984,0.148496152,0.241514801,0.234593552,0.163911006,0.276577205,0.189957896,0.616950582,0.633168691,0.517697943,0.480010695,0.331066635,0.12208535,0.52435036,0.227530587,0.308534673,0.009024711,0.156595401,0.186024969,0.203567517,0.281889179,0.037636246,0.105485396,0.089755736,0.213148698,0.069278836,0.145048365,0.374266081,0.340528548,0.213335806
Ini_BV_6A,0.238420916,0.089928725,0.106630417,0.060133104,0.096843167,0.209623236,0.093255882,0.298506676,0.272350735,0.524579319,0.095213643,0.045525529,0.340009611,0.075847916,0.568990887,0.39089562,0.432376263,0.48340183,0.08576752,0.52435036,0.06934329,0.310255941,0.366232174,0.068734335,0.110888017,0.194735251,0.352211005,0.004120892,0.228864376,0.230535906,0.148758267,0.196035397,0.078575115,0.187674536,0.130069896,0.126401621,0.001586678
Sol_G,0.419098129,0.253205911,0.499699167,0.074963159,0.284513885,0.151996801,0.107599063,0.350553123,0.128966611,0.294223488,0.182229189,0.242895177,0.172680655,0.124826071,0.120349373,0.023119071,0.129818671,0.043744655,0.040884643,0.227530587,0.310255941,0.14525893,0.85459941,0.027419822,0.083341909,0.068075758,0.584453689,0.031203609,0.064678213,0.013444958,0.18081808,0.167121003,0.058585379,0.068184562,0.188065202,0.148826233,0.133876536
Sol_HOMO,0.388687451,0.097833069,0.359424058,0.060327329,0.279992669,0.169868734,0.060179839,0.428598916,0.179870577,0.230039018,0.077258938,0.26751301,0.135930942,0.213507863,0.210886304,0.06056651,0.028234995,0.098843759,0.031023016,0.308534673,0.366232174,0.85459941,0.03122274,0.095246825,0.414031499,0.269341685,0.708470965,0.01626971,0.140271891,0.10669264,0.216781255,0.237472494,0.015960942,0.137075518,0.176693947,0.126125855,0.1418464
Sol_LUMO,0.049731753,0.126245111,0.05936681,0.108223045,0.060028651,0.047238003,0.176886252,0.10968829,0.199478719,0.03143525,0.034848734,0.058800124,0.024049681,0.035586805,0.093975083,0.024886415,0.018894151,0.004855596,0.085924916,0.009024711,0.068734335,0.027419822,0.095246825,0.1205397,0.6758446,0.008433108,0.007509458,0.064842698,0.167409779,0.176290772,0.068744231,0.003975552,0.115075993,0.011209272,0.026923031,0.040428266,0.058918229
Sol_LUMO+1,0.018970708,0.115679961,0.073911929,0.002524801,0.112679473,0.091012372,0.022383126,0.125813562,0.02817891,0.044073397,0.136704891,0.107422776,0.02126885,0.150311364,0.100483831,0.052120154,0.115814408,0.192052718,0.153650947,0.156595401,0.110888017,0.083341909,0.414031499,0.6758446,0.137285811,0.118556503,0.319513664,0.014943572,0.011001576,0.02069663,0.048549351,0.14860585,0.121630394,0.103718694,0.076788275,0.04875418,0.014796768
Sol_dipole,0.121120776,0.308522407,0.145387587,0.184389299,0.144981384,0.211698404,0.2872828,0.248711679,0.440546385,0.141649898,0.020267114,0.001241666,0.011075089,0.096839559,0.208777017,0.130717515,0.074334128,0.068821571,0.100412056,0.186024969,0.194735251,0.068075758,0.269341685,0.008433108,0.118556503,0.426643915,0.262605454,0.1940062,0.459167923,0.393105465,0.134673746,0.275254433,0.190033587,0.322504612,0.022793823,0.079430275,0.111383629
Sol_x,0.154009002,0.043410372,0.145941552,0.088866938,0.08740302,0.177901666,0.113441228,0.292768199,0.26851192,0.088846403,0.053106456,0.187171721,0.070091543,0.221178929,0.244298854,0.025342271,0.053862622,0.196456061,0.059618464,0.203567517,0.352211005,0.584453689,0.708470965,0.007509458,0.319513664,0.262605454,0.16199312,0.033438613,0.153716145,0.122159649,0.206649107,0.282827965,0.015521871,0.215615123,0.162003422,0.144921745,0.179373637
S_G,0.18551303,0.116664005,0.04751811,0.147669427,0.191249791,0.050643029,0.189494416,0.033719488,0.187688949,0.0550934,0.230409637,0.013329646,0.128955023,0.087410781,0.167304384,0.254000337,0.22727535,0.139677161,0.191199245,0.281889179,0.004120892,0.031203609,0.01626971,0.064842698,0.014943572,0.1940062,0.033438613,0.198222018,0.434389164,0.187708287,0.084765372,0.003332867,0.373694231,0.151296979,0.721897502,0.634493873,0.364449101
S_HOMO-1,0.006631599,0.229288061,0.178950038,0.252427254,0.24175179,0.208251291,0.366215581,0.246380136,0.509714886,0.154472502,0.108330772,0.015262108,0.000849447,0.03562166,0.11657378,0.007093567,0.004856518,0.028552478,0.126156839,0.037636246,0.228864376,0.064678213,0.140271891,0.167409779,0.011001576,0.459167923,0.153716145,0.434389164,0.400612334,0.875071181,0.126281424,0.419387479,0.400858616,0.476980237,0.069722926,0.032924738,0.174395664
S_HOMO,0.015967702,0.267907891,0.191692738,0.248792543,0.177547372,0.209757554,0.35572359,0.266841468,0.492084361,0.108206933,0.004417805,0.051538426,0.074298572,0.022567864,0.184607818,0.088770628,0.097949697,0.10250493,0.057065559,0.105485396,0.230535906,0.013444958,0.10669264,0.176290772,0.02069663,0.393105465,0.122159649,0.187708287,0.875071181,0.334951191,0.065198551,0.246616457,0.17792758,0.35764041,0.047468558,0.075041103,0.08916972
S_dipole,0.128786086,0.130158364,0.004342839,0.109523247,0.040395292,0.213041832,0.111562043,0.252426329,0.270510319,0.110814573,0.031568877,0.036444028,0.058124537,0.04859827,0.159731636,0.093821806,0.04665829,0.028734417,0.016413768,0.089755736,0.148758267,0.18081808,0.216781255,0.068744231,0.048549351,0.134673746,0.206649107,0.084765372,0.126281424,0.065198551,0.184765001,0.41068614,0.020933517,0.120678437,0.054378356,0.020317373,0.071269299
S_Charge_S,0.159679471,0.173307592,0.014439821,0.034543307,0.040038103,0.139913363,0.088538911,0.320615737,0.290071614,0.027335452,0.139988319,0.006309139,0.118030726,0.049863296,0.243911192,0.167755136,0.181407221,0.18542862,0.136332629,0.213148698,0.196035397,0.167121003,0.237472494,0.003975552,0.14860585,0.275254433,0.282827965,0.003332867,0.419387479,0.246616457,0.41068614,0.216572273,0.334548809,0.791244019,0.511258803,0.519094064,0.011501432
S_Charge_C,0.013489413,0.089165724,0.077594297,0.109395305,0.08586927,0.075797497,0.149803779,0.038035772,0.146655257,0.191366498,0.292067449,0.031605096,0.172984938,0.026087568,0.054292084,0.113294896,0.209882506,0.186093996,0.300448951,0.069278836,0.078575115,0.058585379,0.015960942,0.115075993,0.121630394,0.190033587,0.015521871,0.373694231,0.400858616,0.17792758,0.020933517,0.334548809,0.151660872,0.263167375,0.226334532,0.142766239,0.101502991
S_Bond_S_C,0.086326103,0.099739048,0.012396312,0.103478709,0.078843313,0.143047968,0.180514573,0.287262883,0.331243914,0.039446395,0.118652172,0.016333746,0.132640763,0.000573387,0.14921218,0.122153064,0.169375833,0.179515635,0.120604574,0.145048365,0.187674536,0.068184562,0.137075518,0.011209272,0.103718694,0.322504612,0.215615123,0.151296979,0.476980237,0.35764041,0.120678437,0.791244019,0.263167375,0.22624686,0.165369374,0.456053846,0.131486523
S_BV_2A,0.279041233,0.225878242,0.033211376,0.136027569,0.151694562,0.017305413,0.145237902,0.136875924,0.026758757,0.01192828,0.201313256,0.03178035,0.105256804,0.136845822,0.302842246,0.289398563,0.232312446,0.175317061,0.168923353,0.374266081,0.130069896,0.188065202,0.176693947,0.026923031,0.076788275,0.022793823,0.162003422,0.721897502,0.069722926,0.047468558,0.054378356,0.511258803,0.226334532,0.165369374,0.047232497,0.85387746,0.326765524
S_BV_4A,0.249347441,0.167547629,0.05571473,0.1008547,0.127375563,0.024567945,0.097019491,0.120203488,0.000915483,0.030208313,0.18533107,0.018736505,0.11537063,0.100455898,0.233341453,0.267030087,0.225139369,0.165618339,0.158732337,0.340528548,0.126401621,0.148826233,0.126125855,0.040428266,0.04875418,0.079430275,0.144921745,0.634493873,0.032924738,0.075041103,0.020317373,0.519094064,0.142766239,0.456053846,0.85387746,0.029563244,0.223964021
B_eq,0.272620644,0.158499375,0.079658003,0.104585838,0.175032613,0.002726509,0.161650858,0.041139017,0.173806919,0.038813554,0.047939816,0.01920612,0.07559157,0.010347266,0.122985594,0.185580885,0.112462138,0.041073108,0.058940449,0.213335806,0.001586678,0.133876536,0.1418464,0.058918229,0.014796768,0.111383629,0.179373637,0.364449101,0.174395664,0.08916972,0.071269299,0.011501432,0.101502991,0.131486523,0.326765524,0.223964021,0.145412102
